player_id,player_name,team,team_id,league_id,games_played,games_started,min,pts,fgm,fga,fg_pct,2ptm,2pta,2pt_pct,3ptm,3pta,3pt_pct,ftm,fta,ft_pct,def,off,reb,ast,stl,to,pf,pfa,blk,blka,rate
a7b49eea17e1,יעל טויטו,מכבי כרמיאל,1219,11,1,0,18.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,50.0,3.0,0.0,3.0,5.0,0.0,2.0,3.0,3.0,0.0,0.0,5.0
a7bba4c05f53,בריה שאנטי הולמס,מכבי כרמיאל,1219,11,1,1,35.0,19.0,8.0,15.0,53.3,7.0,10.0,70.0,1.0,5.0,20.0,2.0,2.0,100.0,6.0,2.0,8.0,2.0,2.0,4.0,0.0,1.0,0.0,0.0,21.0
a8cf9b5c60bb,קסניה מלשקה,מכבי אשדוד נשים,194,11,2,1,31.0,12.5,4.0,12.0,33.3,3.5,7.5,46.7,0.5,4.5,11.1,4.0,5.0,80.0,7.0,2.5,9.5,1.5,1.5,0.5,2.5,3.5,1.5,1.0,17.0
aa54af580295,זיומארה מוריסון,הפועל לב ירושלים פארק בית הכרם,7735,11,2,2,31.0,11.5,4.5,8.5,52.9,3.5,6.5,53.8,1.0,2.0,50.0,1.5,1.5,100.0,3.0,2.0,5.0,1.0,2.0,1.0,3.5,3.0,0.0,0.0,14.0
aba20ee3e04c,שאיין שריל סלרס,מכבי חיפה הפניקס,864,11,2,2,36.5,28.5,8.5,17.5,48.6,7.5,14.0,53.6,1.0,3.5,28.6,10.5,10.5,100.0,6.0,0.0,6.0,6.5,1.5,4.5,2.5,11.0,0.5,0.5,37.5
afbba3563e6f,עדן ציפל,הפועל ראשון לציון,520,11,2,2,40.0,15.5,4.0,12.5,32.0,2.5,5.5,45.5,1.5,7.0,21.4,6.0,6.0,100.0,3.0,2.0,5.0,5.0,2.0,2.0,4.0,3.0,0.5,0.0,16.5
b19de6c344f9,קטרינה ווצ'קוביצ',מכבי כרמיאל,1219,11,1,1,39.0,13.0,6.0,11.0,54.5,5.0,7.0,71.4,1.0,4.0,25.0,0.0,0.0,0.0,8.0,0.0,8.0,4.0,3.0,2.0,4.0,0.0,2.0,0.0,19.0
b7ff4e4b9bb1,יערה יצחקי,הפועל ראשון לציון,520,11,2,2,23.5,3.0,1.0,4.5,22.2,0.5,1.5,33.3,0.5,3.0,16.7,0.5,0.5,100.0,1.0,0.0,1.0,2.0,0.5,2.5,1.5,1.0,0.0,0.0,0.0
b870cbf0d5e1,ליאור גרזון,אליצור נוה דוד רמלה,2100,11,1,1,23.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,-2.0
bffa254443ba,צ'לסי נלסון,אליצור נוה דוד רמלה,2100,11,1,1,34.0,20.0,8.0,12.0,66.7,8.0,11.0,72.7,0.0,1.0,0.0,4.0,7.0,57.1,3.0,3.0,6.0,3.0,6.0,1.0,1.0,6.0,1.0,0.0,33.0
c28545e4a2c5,ג'וי אוסיגוואי,הפועל לב ירושלים פארק בית הכרם,7735,11,2,2,22.0,4.5,2.0,8.0,25.0,1.5,4.0,37.5,0.5,4.0,12.5,0.0,3.0,0.0,1.0,1.5,2.5,3.0,2.0,1.5,3.0,2.0,0.0,0.0,0.5
